filepath,testclass,testname,assertion type,line number,assert string
task2results/vision-main/test/test_datasets.py,test_subclass,test_subclass,approximate,3454,assert (wrapped_dataset[0] is sentinel)
task2results/vision-main/test/test_backbone_utils.py,test_leaf_module_and_function,test_leaf_module_and_function,approximate,318,assert ('relu' not in [str(n) for n in model.graph.nodes])
task2results/vision-main/test/test_backbone_utils.py,test_leaf_module_and_function,test_leaf_module_and_function,approximate,319,assert ('leaf_module' in [str(n) for n in model.graph.nodes])
task2results/vision-main/test/test_tv_tensors.py,test_new_requires_grad,test_new_requires_grad,approximate,68,assert (tv_tensor.requires_grad is expected_requires_grad)
task2results/vision-main/test/test_tv_tensors.py,test_to_wrapping,test_to_wrapping,approximate,89,assert (type(dp_to) is type(dp))
task2results/vision-main/test/test_tv_tensors.py,test_to_wrapping,test_to_wrapping,approximate,90,assert (dp_to.dtype is torch.float64)
task2results/vision-main/test/test_tv_tensors.py,test_to_tv_tensor_reference,test_to_tv_tensor_reference,approximate,102,assert (type(tensor_to) is (type(dp) if (return_type == 'TVTensor') else torch.Tensor))
task2results/vision-main/test/test_tv_tensors.py,test_to_tv_tensor_reference,test_to_tv_tensor_reference,approximate,103,assert (tensor_to.dtype is dp.dtype)
task2results/vision-main/test/test_tv_tensors.py,test_to_tv_tensor_reference,test_to_tv_tensor_reference,approximate,104,assert (type(tensor) is torch.Tensor)
task2results/vision-main/test/test_tv_tensors.py,test_clone_wrapping,test_clone_wrapping,approximate,115,assert (type(dp_clone) is type(dp))
task2results/vision-main/test/test_tv_tensors.py,test_clone_wrapping,test_clone_wrapping,approximate,116,assert (dp_clone.data_ptr() != dp.data_ptr())
task2results/vision-main/test/test_tv_tensors.py,test_requires_grad__wrapping,test_requires_grad__wrapping,approximate,129,assert (type(dp_requires_grad) is type(dp))
task2results/vision-main/test/test_tv_tensors.py,test_detach_wrapping,test_detach_wrapping,approximate,142,assert (type(dp_detached) is type(dp))
task2results/vision-main/test/test_tv_tensors.py,test_other_op_no_wrapping,test_other_op_no_wrapping,approximate,182,assert (type(output) is (type(dp) if (return_type == 'TVTensor') else torch.Tensor))
task2results/vision-main/test/test_tv_tensors.py,test_no_tensor_output_op_no_wrapping,test_no_tensor_output_op_no_wrapping,approximate,199,assert (type(output) is not type(dp))
task2results/vision-main/test/test_tv_tensors.py,test_inplace_op_no_wrapping,test_inplace_op_no_wrapping,approximate,211,assert (type(output) is (type(dp) if (return_type == 'TVTensor') else torch.Tensor))
task2results/vision-main/test/test_tv_tensors.py,test_inplace_op_no_wrapping,test_inplace_op_no_wrapping,approximate,212,assert (type(dp) is original_type)
task2results/vision-main/test/test_tv_tensors.py,test_wrap,test_wrap,approximate,224,assert (type(dp_new) is type(dp))
task2results/vision-main/test/test_tv_tensors.py,test_deepcopy,test_deepcopy,approximate,237,assert (dp_deepcopied is not dp)
task2results/vision-main/test/test_tv_tensors.py,test_deepcopy,test_deepcopy,approximate,238,assert (dp_deepcopied.data_ptr() != dp.data_ptr())
task2results/vision-main/test/test_tv_tensors.py,test_deepcopy,test_deepcopy,approximate,241,assert (type(dp_deepcopied) is type(dp))
task2results/vision-main/test/test_tv_tensors.py,test_deepcopy,test_deepcopy,approximate,242,assert (dp_deepcopied.requires_grad is requires_grad)
task2results/vision-main/test/test_tv_tensors.py,test_usual_operations,test_usual_operations,approximate,270,assert (type(out) is (type(dp) if (return_type == 'TVTensor') else torch.Tensor))
task2results/vision-main/test/test_tv_tensors.py,test_set_return_type,test_set_return_type,approximate,287,assert (type((img + 3)) is torch.Tensor)
task2results/vision-main/test/test_tv_tensors.py,test_set_return_type,test_set_return_type,approximate,291,assert (type((img + 3)) is torch.Tensor)
task2results/vision-main/test/test_tv_tensors.py,test_set_return_type,test_set_return_type,approximate,294,assert (type((img + 3)) is tv_tensors.Image)
task2results/vision-main/test/test_tv_tensors.py,test_set_return_type,test_set_return_type,approximate,305,assert (type((img + 3)) is tv_tensors.Image)
task2results/vision-main/test/test_image.py,test_decode_jpeg,test_decode_jpeg,approximate,100,assert (abs_mean_diff < 2)
task2results/vision-main/test/test_image.py,test_decode_jpeg_cuda,test_decode_jpeg_cuda,approximate,408,assert ((img.float() - img_nvjpeg.cpu().float()).abs().mean() < 2)
task2results/vision-main/test/test_prototype_transforms.py,test__get_params,test__get_params,approximate,176,assert (params['height'] <= crop_size[0])
task2results/vision-main/test/test_prototype_transforms.py,test__get_params,test__get_params,approximate,177,assert (params['width'] <= crop_size[1])
task2results/vision-main/test/test_videoapi.py,test_fate_suite,test_fate_suite,approximate,260,assert (metadata['subtitles']['duration'] is not None)
task2results/vision-main/test/test_extended_models.py,test_list_models,test_list_models,approximate,121,assert (len(b) > 0)
task2results/vision-main/test/test_extended_models.py,test_naming_conventions,test_naming_conventions,approximate,214,assert (weights_enum is not None)
task2results/vision-main/test/test_functional_tensor.py,test_perspective_pil_vs_tensor,test_perspective_pil_vs_tensor,approximate,406,assert (ratio_diff_pixels < 0.05)
task2results/vision-main/test/test_functional_tensor.py,test_rotate,test_rotate,approximate,127,"assert (ratio_diff_pixels < 0.03), f'''{(height, width, NEAREST, dt, angle, expand, center, fill)}: {ratio_diff_pixels}
{out_tensor[(0, :7, :7)]} vs 
{out_pil_tensor[(0, :7, :7)]}'''"
task2results/vision-main/test/test_functional_tensor.py,test_square_rotations,test_square_rotations,approximate,224,assert (ratio_diff_pixels < 0.06)
task2results/vision-main/test/test_functional_tensor.py,test_rect_rotations,test_rect_rotations,approximate,258,assert (ratio_diff_pixels < 0.03)
task2results/vision-main/test/test_functional_tensor.py,test_all_ops,test_all_ops,approximate,328,assert (ratio_diff_pixels < tol)
task2results/vision-main/test/test_prototype_datasets_builtin.py,test_has_length,test_has_length,approximate,234,assert (len(dataset) > 0)
task2results/vision-main/test/test_models.py,test_fasterrcnn_double,test_fasterrcnn_double,approximate,566,assert (model_input[0] is x)
task2results/vision-main/test/test_models.py,test_fasterrcnn_double,test_fasterrcnn_double,approximate,568,assert ('boxes' in out[0])
task2results/vision-main/test/test_models.py,test_fasterrcnn_double,test_fasterrcnn_double,approximate,569,assert ('scores' in out[0])
task2results/vision-main/test/test_models.py,test_fasterrcnn_double,test_fasterrcnn_double,approximate,570,assert ('labels' in out[0])
task2results/vision-main/test/test_models.py,test_fasterrcnn_switch_devices,test_fasterrcnn_switch_devices,approximate,605,assert (model_input[0] is x)
task2results/vision-main/test/test_models.py,test_detection_model,test_detection_model,approximate,807,assert (model_input[0] is x)
task2results/vision-main/test/test_models.py,checkOut,checkOut,approximate,594,assert ('boxes' in out[0])
task2results/vision-main/test/test_models.py,checkOut,checkOut,approximate,595,assert ('scores' in out[0])
task2results/vision-main/test/test_models.py,checkOut,checkOut,approximate,596,assert ('labels' in out[0])
task2results/vision-main/test/test_video_reader.py,test_read_video_from_file_read_single_stream_only,test_read_video_from_file_read_single_stream_only,approximate,514,assert ((vframes.numel() > 0) is bool(read_video_stream))
task2results/vision-main/test/test_video_reader.py,test_read_video_from_file_read_single_stream_only,test_read_video_from_file_read_single_stream_only,approximate,515,assert ((vframe_pts.numel() > 0) is bool(read_video_stream))
task2results/vision-main/test/test_video_reader.py,test_read_video_from_file_read_single_stream_only,test_read_video_from_file_read_single_stream_only,approximate,516,assert ((vtimebase.numel() > 0) is bool(read_video_stream))
task2results/vision-main/test/test_video_reader.py,test_read_video_from_file_read_single_stream_only,test_read_video_from_file_read_single_stream_only,approximate,517,assert ((vfps.numel() > 0) is bool(read_video_stream))
task2results/vision-main/test/test_video_reader.py,test_read_video_from_file_read_single_stream_only,test_read_video_from_file_read_single_stream_only,approximate,520,assert ((aframes.numel() > 0) is bool(expect_audio_data))
task2results/vision-main/test/test_video_reader.py,test_read_video_from_file_read_single_stream_only,test_read_video_from_file_read_single_stream_only,approximate,521,assert ((aframe_pts.numel() > 0) is bool(expect_audio_data))
task2results/vision-main/test/test_video_reader.py,test_read_video_from_file_read_single_stream_only,test_read_video_from_file_read_single_stream_only,approximate,522,assert ((atimebase.numel() > 0) is bool(expect_audio_data))
task2results/vision-main/test/test_video_reader.py,test_read_video_from_file_read_single_stream_only,test_read_video_from_file_read_single_stream_only,approximate,523,assert ((asample_rate.numel() > 0) is bool(expect_audio_data))
task2results/vision-main/test/test_video_reader.py,test_read_video_from_memory_get_pts_only,test_read_video_from_memory_get_pts_only,approximate,975,assert (abs((config.video_fps - tv_result[3].item())) < 0.01)
task2results/vision-main/test/test_video_reader.py,test_read_video_in_range_from_memory,test_read_video_in_range_from_memory,approximate,1055,assert (abs((config.video_fps - vfps.item())) < 0.01)
task2results/vision-main/test/test_video_reader.py,test_probe_video_from_memory_script,test_probe_video_from_memory_script,approximate,1171,assert (scripted_fun is not None)
task2results/vision-main/test/test_video_reader.py,test_read_video_from_memory_scripted,test_read_video_from_memory_scripted,approximate,1192,assert (scripted_fun is not None)
task2results/vision-main/test/test_transforms.py,test_resize_equal_input_output_sizes,test_resize_equal_input_output_sizes,approximate,462,assert (result is img)
task2results/vision-main/test/test_transforms.py,test_random_order,test_random_order,approximate,1424,assert (p_value > 0.0001)
task2results/vision-main/test/test_transforms.py,test_center_crop,test_center_crop,approximate,1693,assert (sum1 > 1)
task2results/vision-main/test/test_transforms.py,test_center_crop,test_center_crop,approximate,1704,assert (sum2 > 0)
task2results/vision-main/test/test_transforms.py,test_center_crop,test_center_crop,approximate,1705,assert (sum2 > sum1)
task2results/vision-main/test/test_transforms.py,test_random_erasing,test_random_erasing,approximate,1810,assert (((1 / 3) - tol) <= aspect_ratio <= (3 + tol))
task2results/vision-main/test/test_transforms.py,test_random_erasing,test_random_erasing,approximate,1829,assert (p_value > 0.0001)
task2results/vision-main/test/test_transforms.py,test_random_rotation,test_random_rotation,approximate,1855,assert ((- 10) < angle < 10)
task2results/vision-main/test/test_transforms.py,test_random_affine,test_random_affine,approximate,2190,assert ('bilinear' in t.__repr__())
task2results/vision-main/test/test_transforms.py,test_float_to_float,test_float_to_float,approximate,56,assert (abs((actual_min - desired_min)) < 1e-07)
task2results/vision-main/test/test_transforms.py,test_float_to_float,test_float_to_float,approximate,57,assert (abs((actual_max - desired_max)) < 1e-07)
task2results/vision-main/test/test_transforms.py,test_int_to_float,test_int_to_float,approximate,98,assert (abs((actual_min - desired_min)) < 1e-07)
task2results/vision-main/test/test_transforms.py,test_int_to_float,test_int_to_float,approximate,99,assert (actual_min >= desired_min)
task2results/vision-main/test/test_transforms.py,test_int_to_float,test_int_to_float,approximate,100,assert (abs((actual_max - desired_max)) < 1e-07)
task2results/vision-main/test/test_transforms.py,test_int_to_float,test_int_to_float,approximate,101,assert (actual_max <= desired_max)
task2results/vision-main/test/test_transforms.py,test_accimage_resize,test_accimage_resize,approximate,190,assert (np.abs((expected_output - output).mean()) < 0.001)
task2results/vision-main/test/test_transforms.py,test_accimage_resize,test_accimage_resize,approximate,191,assert ((expected_output - output).var() < 1e-05)
task2results/vision-main/test/test_transforms.py,_test_transformation,_test_transformation,approximate,2043,assert (np.sum(np.abs((true_matrix - result_matrix))) < 1e-10)
task2results/vision-main/test/test_transforms.py,_test_transformation,_test_transformation,approximate,2067,"assert (n_diff_pixels < 3), error_msg"
task2results/vision-main/test/test_transforms_v2.py,test_labels_getter_default_heuristic,test_labels_getter_default_heuristic,approximate,2284,assert (transforms._utils._find_labels_default_heuristic(sample) is labels)
task2results/vision-main/test/test_transforms_v2.py,test_alias,test_alias,approximate,5299,assert (alias is target)
task2results/vision-main/test/test_transforms_v2.py,test_float16_no_rounding,test_float16_no_rounding,approximate,944,assert (output.dtype is torch.float16)
task2results/vision-main/test/test_transforms_v2.py,test_float16_no_rounding,test_float16_no_rounding,approximate,945,assert ((output.round() - output).abs().sum() > 0)
task2results/vision-main/test/test_transforms_v2.py,test_dtype_not_a_dict,test_dtype_not_a_dict,approximate,2061,assert (out['inpt'].dtype != inpt_dtype)
task2results/vision-main/test/test_transforms_v2.py,test_others_catch_all_and_none,test_others_catch_all_and_none,approximate,2078,assert (out['mask'].dtype != mask_dtype)
task2results/vision-main/test/test_transforms_v2.py,test_typical_use_case,test_typical_use_case,approximate,2090,assert (out['inpt'].dtype != inpt_dtype)
task2results/vision-main/test/test_transforms_v2.py,test_typical_use_case,test_typical_use_case,approximate,2094,assert (out['mask'].dtype != mask_dtype)
task2results/vision-main/test/test_transforms_v2.py,test_register_kernel,test_register_kernel,approximate,2401,assert (out is my_dp)
task2results/vision-main/test/test_transforms_v2.py,test_tv_tensor_subclass,test_tv_tensor_subclass,approximate,2508,"assert (_get_kernel(F.resize, MyTVTensor) is resize_my_tv_tensor)"
task2results/vision-main/test/test_transforms_v2.py,test_pil_image_subclass,test_pil_image_subclass,approximate,2516,assert (type(opened_image) is not PIL.Image.Image)
task2results/vision-main/test/test_transforms_v2.py,test_pil_image_subclass,test_pil_image_subclass,approximate,2518,assert (type(loaded_image) is PIL.Image.Image)
task2results/vision-main/test/test_transforms_v2.py,test_kernel_image_inplace,test_kernel_image_inplace,approximate,2957,assert (output_out_of_place.data_ptr() != input.data_ptr())
task2results/vision-main/test/test_transforms_v2.py,test_kernel_image_inplace,test_kernel_image_inplace,approximate,2958,assert (output_out_of_place is not input)
task2results/vision-main/test/test_transforms_v2.py,test_kernel_image_inplace,test_kernel_image_inplace,approximate,2962,assert (output_inplace._version > input_version)
task2results/vision-main/test/test_transforms_v2.py,test_kernel_image_inplace,test_kernel_image_inplace,approximate,2963,assert (output_inplace is input)
task2results/vision-main/test/test_transforms_v2.py,test_kernel_noop,test_kernel_noop,approximate,3367,assert (output is input)
task2results/vision-main/test/test_transforms_v2.py,test_kernel_inplace,test_kernel_inplace,approximate,3377,assert (output_out_of_place.data_ptr() != input.data_ptr())
task2results/vision-main/test/test_transforms_v2.py,test_kernel_inplace,test_kernel_inplace,approximate,3378,assert (output_out_of_place is not input)
task2results/vision-main/test/test_transforms_v2.py,test_kernel_inplace,test_kernel_inplace,approximate,3384,assert (output_inplace._version > input_version)
task2results/vision-main/test/test_transforms_v2.py,test_kernel_inplace,test_kernel_inplace,approximate,3385,assert (output_inplace is input)
task2results/vision-main/test/test_transforms_v2.py,test_kernel_image_inplace,test_kernel_image_inplace,approximate,4237,assert (output_out_of_place.data_ptr() != input.data_ptr())
task2results/vision-main/test/test_transforms_v2.py,test_kernel_image_inplace,test_kernel_image_inplace,approximate,4238,assert (output_out_of_place is not input)
task2results/vision-main/test/test_transforms_v2.py,test_kernel_image_inplace,test_kernel_image_inplace,approximate,4242,assert (output_inplace._version > input_version)
task2results/vision-main/test/test_transforms_v2.py,test_kernel_image_inplace,test_kernel_image_inplace,approximate,4243,assert (output_inplace is input)
task2results/vision-main/test/test_transforms_v2.py,test_correctness_image,test_correctness_image,approximate,4695,assert (mae < 2)
task2results/vision-main/test/test_transforms_v2.py,test_transform_noop,test_transform_noop,approximate,4890,assert (output is input)
task2results/vision-main/test/test_transforms_v2.py,test_transform_correctness,test_transform_correctness,approximate,4925,assert (mae < 2)
task2results/vision-main/test/test_transforms_v2.py,test_expanded_channels_are_not_views_into_the_same_underlying_tensor,test_expanded_channels_are_not_views_into_the_same_underlying_tensor,approximate,4971,assert (output_image[0][0][0] != output_image[1][0][0])
task2results/vision-main/test/test_transforms_v2.py,test_transform_params_correctness,test_transform_params_correctness,approximate,5045,assert ('padding' in params)
task2results/vision-main/test/test_transforms_v2.py,test_transform_params_correctness,test_transform_params_correctness,approximate,5050,assert (0 <= padding[0] <= ((side_range[1] - 1) * width))
task2results/vision-main/test/test_transforms_v2.py,test_transform_params_correctness,test_transform_params_correctness,approximate,5051,assert (0 <= padding[1] <= ((side_range[1] - 1) * height))
task2results/vision-main/test/test_transforms_v2.py,test_transform_params_correctness,test_transform_params_correctness,approximate,5052,assert (0 <= padding[2] <= ((side_range[1] - 1) * width))
task2results/vision-main/test/test_transforms_v2.py,test_transform_params_correctness,test_transform_params_correctness,approximate,5053,assert (0 <= padding[3] <= ((side_range[1] - 1) * height))
task2results/vision-main/test/test_transforms_v2.py,test__get_params,test__get_params,approximate,5106,assert ('size' in params)
task2results/vision-main/test/test_transforms_v2.py,test__get_params,test__get_params,approximate,5115,assert (int((input_size[0] * r_min)) <= height <= int((input_size[0] * r_max)))
task2results/vision-main/test/test_transforms_v2.py,test__get_params,test__get_params,approximate,5116,assert (int((input_size[1] * r_min)) <= width <= int((input_size[1] * r_max)))
task2results/vision-main/test/test_transforms_v2.py,test_transform,test_transform,approximate,5280,assert (output is input)
task2results/vision-main/test/test_transforms_v2.py,test_transform,test_transform,approximate,5281,"assert (was_applied is ((not types) or isinstance(input, types)))"
task2results/vision-main/test/test_transforms_v2.py,test__get_params,test__get_params,approximate,5458,assert ('size' in params)
task2results/vision-main/test/test_transforms_v2.py,test_transform,test_transform,approximate,5736,assert (out_image is input_img)
task2results/vision-main/test/test_transforms_v2.py,test_transform,test_transform,approximate,5737,assert (out_whatever is whatever)
task2results/vision-main/test/test_transforms_v2.py,__init__,__init__,approximate,2159,assert (size < num_classes)
task2results/vision-main/test/test_ops.py,assert_empty_loss,assert_empty_loss,approximate,1569,"assert (box1.grad is not None), 'box1.grad should not be None after backward is called'"
task2results/vision-main/test/test_ops.py,assert_empty_loss,assert_empty_loss,approximate,1570,"assert (box2.grad is not None), 'box2.grad should not be None after backward is called'"
task2results/vision-main/test/test_ops.py,test_batched_nms_implementations,test_batched_nms_implementations,approximate,898,"assert (max(boxes[(:, 0)]) < min(boxes[(:, 2)]))"
task2results/vision-main/test/test_ops.py,test_batched_nms_implementations,test_batched_nms_implementations,approximate,899,"assert (max(boxes[(:, 1)]) < min(boxes[(:, 3)]))"
task2results/vision-main/test/test_ops.py,test_stochastic_depth_random,test_stochastic_depth_random,approximate,1846,assert (p_value > 0.01)
task2results/vision-main/test/test_ops.py,test_drop_block_random,test_drop_block_random,approximate,1948,assert ((abs((p - (counts / num_samples))) / p) < 0.15)
task2results/vision-main/test/test_datasets_samplers.py,test_random_clip_sampler_unequal,test_random_clip_sampler_unequal,approximate,28,assert (0 in indices)
task2results/vision-main/test/test_datasets_samplers.py,test_random_clip_sampler_unequal,test_random_clip_sampler_unequal,approximate,29,assert (1 in indices)
